No,Device No1,Device No2,Category,Row_1,Row_2,Row_3,Row_4,Direct_Input,Confirm,Note
3404,M3404,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3405,M3405,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3406,M3406,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3407,M3407,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3408,M3408,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3409,M3409,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3410,M3410,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3411,M3411,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3412,M3412,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3413,M3413,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3414,M3414,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3415,M3415,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3416,M3416,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3417,M3417,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3418,M3418,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3419,M3419,,ﾛﾎﾞｯﾄ給電,,,,,,                                ,
3420,M3420,,ﾛﾎﾞｯﾄエラー,,,,,,                                ,
3421,M3421,,ﾛﾎﾞｯﾄエラー,,,,,,                                ,
3422,M3422,,ﾛﾎﾞｯﾄエラー,,,,,,                                ,
3423,M3423,,ﾛﾎﾞｯﾄエラー,,,,,,                                ,
3424,M3424,,ﾛﾎﾞｯﾄエラー,,,,,,                                ,
3425,M3425,,ﾛﾎﾞｯﾄエラー,,,,,,                                ,
3426,M3426,,ﾛﾎﾞｯﾄエラー,,,,,,                                ,
3427,M3427,,ﾛﾎﾞｯﾄエラー,,,,,,                                ,
3428,M3428,,ﾛﾎﾞｯﾄエラー,,,,,,                                ,
3429,M3429,,ﾛﾎﾞｯﾄエラー,,,,,,                                ,
3430,M3430,,ﾛﾎﾞｯﾄサーボオン,ﾛﾎﾞｯﾄ,ｻｰﾎﾞｵﾝ,確認,,,ﾛﾎﾞｯﾄ   ｻｰﾎﾞｵﾝ  確認            ,
3431,M3431,,ﾛﾎﾞｯﾄサーボオン,ﾛﾎﾞｯﾄ,非常停止,中,,,ﾛﾎﾞｯﾄ   非常停止中              ,
3432,M3432,,ﾛﾎﾞｯﾄサーボオン,ﾛﾎﾞｯﾄ,ﾎｰﾙﾄﾞ,停止中,,,ﾛﾎﾞｯﾄ   ﾎｰﾙﾄﾞ   停止中          ,
3433,M3433,,ﾛﾎﾞｯﾄサーボオン,,,,,,                                ,
3434,M3434,,ﾛﾎﾞｯﾄサーボオン,,,,,,                                ,
3435,M3435,,ﾛﾎﾞｯﾄレディ,,,,,,                                ,
3436,M3436,,ﾛﾎﾞｯﾄレディ,,,,,,                                ,
3437,M3437,,ﾛﾎﾞｯﾄレディ,,,,,,                                ,
3438,M3438,,ﾛﾎﾞｯﾄレディ,,,,,,                                ,
3439,M3439,,ﾛﾎﾞｯﾄレディ,,,,,,                                ,
3440,M3440,,ﾛﾎﾞｯﾄｼﾞｮﾌﾞ選択,ﾛﾎﾞｯﾄ,ｼﾞｮﾌﾞ,試運転,起動,,ﾛﾎﾞｯﾄ   ｼﾞｮﾌﾞ   試運転  起動    ,
3441,M3441,,ﾛﾎﾞｯﾄｼﾞｮﾌﾞ選択,ﾛﾎﾞｯﾄ,ｼﾞｮﾌﾞ,自動運転,起動,,ﾛﾎﾞｯﾄ   ｼﾞｮﾌﾞ   自動運転起動    ,
